Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
metad plc,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Bourbon,Washed,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,green,0,1950.0,2200.0,2075.0,Foundational/Mutation,60.0
metad plc,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Other,Washed,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,green,1,1950.0,2200.0,2075.0,Other,60.0
yidnekachew dabessa,Ethiopia,oromia,320,60 kg,METAD Agricultural Development plc,2014,2015-03-26,Caturra,Natural,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,green,2,1800.0,2200.0,2000.0,Foundational/Mutation,60.0
metad plc,Ethiopia,guji-hambela,300,60 kg,METAD Agricultural Development plc,2014,2015-04-04,Other,Washed,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,green,2,1950.0,2200.0,2075.0,Other,60.0
ji-ae ahn,Brazil,south of minas,100,30 kg,Specialty Coffee Institute of Asia,2013,2013-09-03,Other,Natural,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Other,30.0
hugo valdivia,Peru,cajamarca,100,69 kg,Specialty Coffee Institute of Asia,2012,2012-09-17,Other,Washed,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,green,0,1300.0,1310.64,1310.64,Other,69.0
ethiopia commodity exchange,Ethiopia,oromia,300,60 kg,Ethiopia Commodity Exchange,2010,2010-09-02,Bourbon,Natural,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,green,0,1570.0,1700.0,1635.0,Foundational/Mutation,60.0
ethiopia commodity exchange,Ethiopia,oromiya,300,60 kg,Ethiopia Commodity Exchange,2010,2010-09-02,Caturra,Natural,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,green,0,1570.0,1700.0,1635.0,Foundational/Mutation,60.0
diamond enterprise plc,Ethiopia,"snnp/kaffa zone,gimbowereda",50,60 kg,METAD Agricultural Development plc,2014,2015-03-30,Other,Natural,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,green,4,1795.0,1850.0,1822.5,Other,60.0
mohammed lalo,Ethiopia,oromia,300,60 kg,METAD Agricultural Development plc,2014,2015-03-27,Mixed: unknown variety,Natural,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,green,1,1855.0,1955.0,1905.0,Mixed,60.0
ethiopia commodity exchange,Ethiopia,oromiya,300,60 kg,Ethiopia Commodity Exchange,2010,2010-08-31,Typica,Washed,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,green,2,1570.0,1700.0,1635.0,Foundational/Mutation,60.0
grounds for health admin,Indonesia,sulawesi,1,"2 kg,lbs",Specialty Coffee Association,2010,2010-05-31,Caturra,Honey,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,green,0,1200.0,1800.0,1500.0,Foundational/Mutation,2.0
ethiopia commodity exchange,Ethiopia,yirgacheffe,150,6,Ethiopia Commodity Exchange,2010,2010-06-16,Bourbon,Natural,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,green,2,1300.0,1310.64,1310.64,Foundational/Mutation,6.0
yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,2015,2016-04-07,Catimor,Washed,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,green,0,1450.0,1450.0,1450.0,Hybrid,60.0
the coffee source inc.,Costa Rica,san ramon,250,3 lbs,Specialty Coffee Association,2014,2014-04-02,Caturra,Washed,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,green,2,1300.0,1300.0,1300.0,Foundational/Mutation,3.0
roberto licona franco,Mexico,xalapa,14,1 kg,AMECAFE,2012,2012-07-26,Other,Washed,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,green,0,1320.0,1320.0,1320.0,Other,1.0
ji-ae ahn,Ethiopia,sidamo,100,60 kg,Specialty Coffee Institute of Asia,2013,2013-09-03,Mundo Novo,Natural,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Hybrid,60.0
nucoffee,Brazil,south of minas,3,60 kg,NUCOFFEE,2011,2011-12-03,Bourbon,Natural,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,green,2,1250.0,1250.0,1250.0,Foundational/Mutation,60.0
ethiopia commodity exchange,Ethiopia,sidamo,150,6,Ethiopia Commodity Exchange,2010,2010-06-16,Typica,Natural,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,green-yellow,2,1300.0,1310.64,1310.64,Foundational/Mutation,6.0
kabum trading company,Uganda,kapchorwa eastern,100,60 kg,Uganda Coffee Development Authority,2013,2014-06-26,SL14,Washed,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,green,1,1950.0,1950.0,1950.0,SL-Selection,60.0
